"","Codigo.particpante","Promedio_Acumulado","Edad_a..os","Sexo.","Grado_Escolar","Colegio","Ciudad_Residencia","Nacionalidad","CI_._Factor.g.R","TA_Total","CI_Total","PE_total","Grit.S","EP_Total","O_total","CP_Total","ESP_Total","PE_Total","DA_Total","Preocupaci..n_perfeccionista","Esfuerzo_Perfeccionista","Perfeccionismo_de_.Frost","PA1","PA2","PA3","PA4","PA5","PA6","PA7","PA8","PA9","PA10","PA11","PA12","PA13","PA14","PA15","PA16","PA.Total","PSP1","PSP2","PSP3","PSP4","PSP5","PSP6","PSP7","PSP8","PSP9","PSP_Total","POO1","POO2","POO3","POO4","POO5","POO6","POO7","POO_Total","iq_g_115","iq_g_128","iq_g_median","even_odd","location","total_score_oros"
"198",198,"",14,"1",9,8,6,2,113,20,2.5,3.125,2.8125,15,18,9,23,22,13,59,41,100,2,2,1,2,1,1,2,1,2,3,1,3,2,2,2,3,30,1,2,2,2,1,1,1,2,2,14,1,1,1,1,1,1,1,7,"below115","below128","above_m","even","mex",51
"199",199,"",13,"1",8,8,6,2,107,19,1.25,3.125,2.1875,15,22,10,24,22,15,62,46,108,2,2,1,1,2,2,2,1,2,2,2,1,2,1,1,1,25,1,1,1,2,1,1,1,1,1,10,1,1,1,1,2,1,1,8,"below115","below128","above_m","odd","mex",43
"200",200,"",15,"1",9,6,1,1,84,16,5,2.8125,3.90625,24,15,16,27,45,20,105,42,147,2,3,2,3,3,3,3,1,3,3,3,3,3,3,3,3,44,2,2,2,2,3,2,2,2,3,20,3,3,3,1,2,1,2,15,"below115","below128","below_m","even","col",79
"201",201,"",15,"2",9,6,1,1,80,11,2.5,1.875,2.1875,19,23,16,25,31,16,82,48,130,3,1,2,1,2,1,1,2,2,2,2,1,1,1,1,1,24,1,1,1,2,1,1,1,1,1,10,2,1,2,1,1,1,1,9,"below115","below128","below_m","odd","col",43
"202",202,"4.2",14,"2",9,5,3,1,110,24,3.75,4.6875,4.21875,18,27,14,33,32,11,75,60,135,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,44,2,3,3,3,3,2,2,2,2,22,1,1,3,2,3,3,2,15,"below115","below128","above_m","even","col",81
"203",203,"3.6",13,"1",8,5,2,1,94,17,3.125,2.5,2.8125,20,25,15,27,37,16,88,52,140,3,3,2,3,2,2,3,2,2,3,3,2,3,3,3,3,42,3,3,2,3,2,1,2,2,2,20,2,2,2,1,2,1,1,11,"below115","below128","below_m","odd","col",73
"204",204,"4.7",14,"1",8,4,1,1,113,22,5,3.75,4.375,19,21,11,23,30,16,76,44,120,2,2,2,2,3,2,3,1,3,3,2,2,3,2,3,2,37,2,2,2,2,2,2,2,2,3,19,2,1,2,1,1,1,1,9,"below115","below128","above_m","even","col",65
"205",205,"3.1",14,"1",7,5,3,1,90,7,1.25,3.75,2.5,23,20,11,29,45,20,99,49,148,3,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,45,3,3,2,3,3,2,3,3,3,25,2,2,2,2,3,2,2,15,"below115","below128","below_m","odd","col",85
"206",206,"3.5",14,"1",7,5,3,1,99,22,2.5,4.0625,3.28125,14,27,9,32,25,9,57,59,116,2,3,2,2,3,1,2,2,1,2,2,1,3,1,2,1,30,1,1,2,1,1,1,1,1,2,11,1,1,2,1,2,1,1,9,"below115","below128","below_m","even","col",50
"207",207,"",15,"1",9,6,1,1,86,16,2.8125,3.75,3.28125,18,22,8,23,20,10,56,45,101,2,3,2,1,2,2,3,2,2,3,1,3,3,3,3,3,38,2,2,2,2,2,1,3,2,3,19,1,1,2,1,3,1,1,10,"below115","below128","below_m","odd","col",67
"208",208,"",13,"1",8,8,6,2,116,20,1.5625,3.75,2.65625,7,16,4,16,9,8,28,32,60,1,1,1,1,1,2,1,1,1,3,1,1,1,3,1,1,21,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,7,"above115","below128","above_m","even","mex",37
"209",209,"",13,"2",7,1,1,1,114,25,3.4375,3.75,3.59375,25,30,20,35,42,20,107,65,172,2,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,44,3,3,3,3,3,3,3,3,2,26,3,3,3,3,3,3,3,21,"below115","below128","above_m","odd","col",91
"210",210,"",16,"1",9,3,4,1,108,23,3.125,4.375,3.75,22,28,12,28,29,13,76,56,132,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,23,2,1,3,3,1,1,1,1,2,15,1,2,1,1,2,1,1,9,"below115","below128","above_m","even","col",47
"211",211,"",14,"1",8,1,1,1,116,22,2.8125,4.0625,3.4375,22,27,13,30,21,14,70,57,127,2,2,2,1,2,1,2,1,2,2,1,2,2,3,3,3,31,2,3,2,3,3,2,2,3,3,23,1,1,1,1,1,1,1,7,"above115","below128","above_m","odd","col",61
"212",212,"",12,"2",7,7,5,2,88,13,2.5,1.875,2.1875,6,13,5,9,11,7,29,22,51,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,19,1,1,1,1,1,1,1,1,2,10,1,2,1,1,1,1,1,8,"below115","below128","below_m","even","mex",37
"213",213,"",12,"1",7,7,5,2,88,21,4.0625,4.0625,4.0625,18,27,13,31,37,17,85,58,143,3,3,3,3,2,3,2,2,3,3,3,3,2,3,3,3,44,3,2,3,3,1,1,3,1,3,20,1,1,1,1,1,1,1,7,"below115","below128","below_m","odd","mex",71
"214",214,"",14,"2",8,7,5,2,103,22,2.8125,3.4375,3.125,13,24,6,30,25,11,55,54,109,2,3,2,2,2,1,2,3,2,3,2,2,3,3,2,3,37,1,1,1,2,1,1,1,1,2,11,1,1,2,1,1,1,1,8,"below115","below128","above_m","even","mex",56
"215",215,"",11,"2",6,6,1,3,109,20,1.875,2.5,2.1875,9,11,5,18,20,6,40,29,69,3,2,2,3,3,1,2,2,3,2,1,3,1,1,2,1,32,3,2,3,3,1,3,1,3,3,22,1,2,3,1,3,1,1,12,"below115","below128","above_m","odd","col",66
"216",216,"",13,"1",8,7,5,2,113,16,3.75,2.5,3.125,16,21,14,23,25,16,71,44,115,3,3,3,1,1,3,3,3,3,3,1,1,3,3,1,2,37,2,2,2,2,2,1,1,2,1,15,1,1,1,3,1,1,1,9,"below115","below128","above_m","even","mex",61
"217",217,"",13,"1",7,6,1,1,112,21,3.75,4.0625,3.90625,17,17,12,19,9,20,58,36,94,2,2,3,1,3,1,1,3,2,2,3,3,3,3,1,3,36,2,2,1,2,3,1,3,3,3,20,1,1,2,1,1,1,1,8,"below115","below128","above_m","odd","col",64
"218",218,"3.7",13,"1",7,4,1,1,104,23,3.4375,4.6875,4.0625,23,27,16,29,29,16,84,56,140,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,1,44,3,2,2,3,1,1,1,2,2,17,1,3,1,1,1,3,1,11,"below115","below128","above_m","even","col",72
"219",219,"",12,"1",6,10,5,2,102,16,2.5,1.875,2.1875,13,19,11,17,24,15,63,36,99,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,18,2,2,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,7,"below115","below128","below_m","odd","mex",36
"220",220,"",12,"1",6,6,1,1,95,14,3.75,3.75,3.75,17,16,9,15,39,11,76,31,107,3,2,1,3,2,1,1,2,1,3,2,1,3,3,3,3,34,3,1,3,3,3,3,3,3,3,25,1,3,3,3,1,1,1,13,"below115","below128","below_m","even","col",72
"221",221,"3.9",12,"2",6,5,3,1,111,13,2.5,3.75,3.125,12,7,11,14,26,9,58,21,79,2,2,2,3,2,1,2,2,2,3,1,1,2,2,3,2,32,2,3,2,2,1,1,2,1,3,17,1,1,1,1,2,1,1,8,"below115","below128","above_m","odd","col",57
"222",222,"",13,"1",6,6,1,1,111,24,2.8125,1.875,2.34375,6,23,4,17,20,13,43,40,83,2,3,1,2,1,2,2,2,2,3,2,3,3,3,3,3,37,2,3,3,1,3,1,1,1,1,16,2,1,1,1,2,1,1,9,"below115","below128","above_m","even","col",62
"223",223,"",13,"2",7,7,5,2,90,19,3.4375,2.1875,2.8125,19,23,13,25,29,19,80,48,128,3,2,2,3,2,1,1,2,3,3,3,3,2,3,3,3,39,2,3,1,3,3,2,2,3,3,22,1,1,2,1,2,1,1,9,"below115","below128","below_m","odd","mex",70
"224",224,"3.3",15,"1",9,5,3,1,98,20,3.125,2.8125,2.96875,16,20,13,24,29,15,73,44,117,2,2,3,2,1,2,1,1,2,3,2,3,3,2,2,1,32,2,2,2,2,2,1,1,1,2,15,1,1,1,1,2,1,1,8,"below115","below128","below_m","even","col",55
"225",225,"",12,"1",8,7,5,2,103,25,3.75,3.75,3.75,16,25,9,26,33,11,69,51,120,3,3,3,2,1,3,3,3,3,2,3,2,1,1,3,2,38,2,2,1,3,1,1,3,2,2,17,2,1,2,1,1,1,2,10,"below115","below128","above_m","odd","mex",65
"226",226,"",12,"1",7,7,5,2,82,19,2.8125,1.875,2.34375,12,21,7,22,20,8,47,43,90,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,18,1,2,1,1,1,1,1,1,2,11,1,1,1,1,1,1,2,8,"below115","below128","below_m","even","mex",37
"227",227,"4",14,"2",7,5,3,1,90,24,2.5,4.0625,3.28125,17,26,10,29,16,14,57,55,112,2,1,1,2,1,1,1,1,2,3,2,3,2,1,2,1,26,1,1,2,1,1,1,2,1,2,12,1,1,2,1,1,1,1,8,"below115","below128","below_m","odd","col",46
"228",228,"",14,"2",8,6,1,1,115,17,3.75,3.125,3.4375,24,19,12,13,15,19,70,32,102,1,1,2,3,1,3,1,1,1,3,1,2,1,3,3,3,30,3,3,2,3,1,1,2,3,1,19,1,1,2,1,1,1,1,8,"below115","below128","above_m","even","col",57
